accession_number	short_title	description	fabric
14.9.119	Cypriote statuette	Wreath around head. No evidence of painted decoration or metal attachments. She may have been smiling, although there is considerable erosion of the facial features. Ring-shaped decoration covers her ears.	Cypriote
14.9.12	Thessalian	Creamy white throughout.  Patterns in dull black.  Rectangular patterns with lines inside with a right-angled crossings on outside and similar rectangle design inside but curved.	Thessalian
14.9.120	Boeotian (?) moulded figurine	Body of cock. Small hole underneath. Traces of white slip.	Boeotian (?)
14.9.123	East Greek painted ware lagynos	Red clay with white slip, orange-red glaze.  On shoulder part of harp and two narrow bands.  On body broad band 1.3 cm wide, and close beneath it second band 0.5 cm wide.	East Greek
14.9.13	Thessalian	Creamy-white clay.  Patterns in dull black on pinkish ground, rectangles and lines on the outside and a curved pattern inside. Small section of rim (?)	Thessalian
14.9.14	Thessalian	The ground of the clay is pinkish inside and creamy outside.  No finished edges.  Patterns in dull black, curvilinear, on both sides.  The pattern is curved on both surfaces.	Thessalian
14.9.15	Cretan	Part of base and side of vessel with a white core.  The interior surface is pink.  Exterior surface is white with horizontal stripes on right half in red, and red line at base of side all on a white slip.  What is the base is apparently reserved.	Cretan
14.9.16	Cretan	Core of this fragment is white with the interior surface painted red.  The exterior surface is white with a bold red zigzag.  No finished edges.	Cretan
14.9.17	Cretan	Red core with both surfaces covered in white.  The fragment is curved in two directions suggesting it is part of the neck of a vessel.  Convex curve white and the concave curve is white with a red zigzag.  No finished edges.	Cretan
14.9.18	Cretan	Coarse ware with a white core.  Inside is white, with red curved line around fracture.  Outside is also white with red bands and dentate band (see drawing on card).  Fragment is angled suggesting that part of it may have been the base of the vessel.	Cretan
14.9.19	Cretan fragment	Inside is white with wavy red line.  Outside is also white with red chevrons and slanting line.	Cretan
14.9.2	Cypriote base-ring ware vase	Painted black, fired in places to red. Relief bands round neck.	Cypriote
14.9.20	Cretan	No finished edges.  Red core and red interior.  White on outside with dark brown \\/ red detail in a triangular shape.	Cretan
14.9.21	Cretan	Two fragments joined.  Core is reddish-brown.  Inside is white with two wavy lines in red.  Outside is white as well with two thick and two thin straight lines in red.  Curves as though it may have been part of the neck of the vessel.	Cretan
14.9.22	Thessalian	Red clay with white slip on both sides and decorative red stripes, angled like very open chevrons, on outside.  Inside, trace of red across on corner perhaps evidence of lost interior design.  No finished edges so it is a middle piece.	Thessalian
14.9.23	Thessalian	Red with white slip on both sides and traces of red decoration on the exterior surface with a band and then a band with design attached to it.  On the interior surface is a red line down one side with a whte \\'S\\' on it.  No finished edges.	Thessalian
14.9.24	Thessalian	Pink with white slip on both sides.  Thick wavy stripes on both sides which have points and almost look like very close zigzag.Bands of red are uneven and irregular as they were drawn by hand.  One finished edge which is thinner, denoting a rim.	Thessalian
14.9.25	Thessalian	Pink, with decoration of red stripes on creamy ground on outside.  Very coarse material and no decoration on the interior surface.  No finished edges.	Thessalian
14.9.26	Thessalian	Pink with wavy red stripes on white ground on outside.  Reserved on the interior surface.  No finished edges.	Thessalian
14.9.28	Thessalian	Fragment of coarse Neolithic pottery, pink with grey core, traces of decoration in red on outside and reserved inside.	Thessalian
14.9.29	Thessalian	Pink surface with white slip on each side.  Linear decoration in red.  Outside is horizontally striped and inside is half red with half the surface with white diagonal stripes.  The fragment is a middle piece as there are no finished edges.	Thessalian
14.9.3	Cypriote white ware jug	 	Cypriote
14.9.30	Minoan	Sherd with fragment of handle attached.  Interior surface is reserved showing the pale clay. The exterior is covered with dull black paint and has superimposed bands of white with the suggestion that there is some pattern inside the band.  Small section of handle is black as well.  No finished edges.	Minoan
14.9.31	Minoan	Fragment of rim of vase.  Interior is reserved except for a black band around rim.  The exterior is painted dark brown with four horizontal bands of red covered with white dots.  There is a narrow band of orange just below rim.  The walls thin at the rim.	Minoan
14.9.32	Minoan	Fragment with part of handle, probably belonging to a large vase.  Interior is coarse and coloured red although undecorated.  The exterior surface has a design of dull black with bands of white.  There is a heavy white band round base of handle.  Handle round in section.  Surfaces are most uneven.	Minoan
14.9.33	Minoan	Fragment belonging to the rim of a vase made of fine fabric.  Dull black paint inside and out.  The exterior surface had white band around rim above spirals or tendrils with three horizontal bands below.  The interior had a white band round rim. The material gets thinner at the rim.	Minoan
14.9.34	Minoan fragment	Fragment of a flat base.  Chocolate coloured paint inside and out, including a flat base, all glazed.  Exterior has 6 horizontal bands of white near the bottom, the lowest one broader than the five upper ones.  On base two white parallel lines.	Minoan
14.9.37	Minoan cup	Fragment of thick clay with rim attached.  Buff clay with black paint.  Inside is painted  black.  The Outside has a black narrow band at rim with a coiled leaf pattern below, followed by blurry bands.	Minoan
14.9.38	Minoan cup	Pinkish-buff clay with brick red paint.  The exterior surface has a band at rim above a spiral with linking lines with small petal-like crescents between them.  Inside, the surface is red.	Minoan
14.9.39	Minoan cup	Clear buff clay with brownish-black paint.  Outside broad band at rim with some red showing through.  Below, on body are linked spirals with red glaze appearing through black.  Inside the rim is black with the lower part of the fragment reserved.  There is however, the start of a line running downwards at right.	Minoan
14.9.4	Cypriote jug	One-handled jug, black and blue background. Mouth very small, with a thick lip to which the black handle joins. The neck is very short and black. The shoulder is predominantly black with suggestions of circles around the circumference in black and blue bands. The body has a thick black band overlapping from the shoulder, but the rest is deep blue colour and undecorated. The foot is small and undecorated.	Cypriote
14.9.40	Minoan cup	Buff clay with dull black paint.  The outer surface has a band at the rim with a double foliate band on body with another plain band below.  The inside surface is chocolate brown faded from black.	Minoan
14.9.41	Minoan cup	Pinkish clay with black paint.  Outer surface has a narrow band at rim above two rows of dots between thin bands with plain bands below.  Interior surface has a creamy-yellow slip.	Minoan
14.9.42	Minoan jar	Pinkish-buff clay.  Exterior surface has poor, dull black paint in a pattern of three linked spirals between broad bands.  Interior surface is reserved except for an irregular streak of red top to bottom.  No finished edges.	Minoan
14.9.43	Minoan cup	Buff clay.  The interior surface is black and the exterior surface is cream with dull black painted design.  There is a band at the rim and the pattern on the body below is of buds and spiral leaves.	Minoan
14.9.44	Minoan kalathos (?)	Top edge of rim is painted black.  Buff clay with black paint.  Outer surface has a ripple pattern based on horizontal band.  Inside has similar but the ripple pattern does not extend below the rim, and sits on two bands inside bowl.	Minoan
14.9.45	Mycenaean stirrup jar	Bottom of false neck has a broad red band. Shoulder has two broad red bands with several narrower bands in between them. The body is squat, with same pattern as the shoulder. Decoration is brick-red on pinkish-buff ground.  Smaller band of red near and on the edge of the base, which is undecorated and slightly convex in shape (?).   Blackening around hole where true neck has broken off suggests usage as a lamp.	Mycenaean
14.9.46	Mycenaean fragment	Black decoration on the outer side of the handle finishing in a V shape at the false lid. The lowest part of the false neck also is decorated with black paint which has discoloured in fierinf process. False lid has a black disk surrounded by three concentric circles with reserved areas separating them.	Mycenaean
14.9.47	Mycenaean mycenaean iii a krater	Panel decoration.  Broken wave band on neck; below this the end of a broad band and the beginning of a thinner vertical line bordering the panel on the right; within this frame a network composed of papyrus motives, horizontal and facing left with circles in the blank spaces.  Inside a broad band extends from the top of the fragment (and presumably from the top of the vase) to the level fo the top of the band on the outside, the rest reserved.	Mycenaean
14.9.48	Mycenaean krater	Brick red paint on pinkish buff clay.  Interior surface has Two red bands, on on top of rim and one just below. Main scene is a chariot with three passengers facing to right.  The broad band below rim has practically obliterated the heads and shoulders.  On outer surface is a red band just below rim.	Mycenaean
14.9.49	Mycenaean krater	Brick red paint on pinkish-buff clay.  On the exterior surface is a band around the rim and one just below, but broader.  Design is a little unclear but perhaps shows the heads and shoulders of two men (perhaps in a chariot ?) wearing clothing patterned with dots.  On the underside is a red band around rim leaving the rest reserved.	Mycenaean
14.9.5	Cypriote amphora	Inside of mouth and rim are black but remainder of interior is reserved. Handles, black on top and reserved underneath. Slight lip to mouth with black band below and then another at base of neck (white spots superimposed on front only). At base of handles are wavy lines and below is a decoration of three black bands. Base is reserved. Graeco-Phoenician.	Cypriote
14.9.50	Mycenaean krater	Shiny red-brown paint on pale buff clay.  On outside is a broad band under rim with a loop with cross-piece in centre hanging from it.  Both parts have transverse bars.  Below and along fracture is a curved line.  The interior surface is reserved in the lower part but has as broad band covering rim at the top.	Mycenaean
14.9.51	Mycenaean krater	Underside is reserved.  Chocolate brown on whitish-buff.  The topside has the lower part of a bird including a leg and foot at top with two broad bands below.  The bird may be a duck or the like and appears to be running to the right.	Mycenaean
14.9.52	Mycenaean jar	Black paint has faded to brownish-orange.  Between two pairs of painted bands on the lower-side of the top band and the upper-side of the lower band there is a three tiered fish-scale design.  In between there are painted circles that are surrounded with little dots.  A band of faded black paint frames the place where the handle might have been.	Mycenaean
14.9.53	Mycenaean krater	Brown, in places very pale, on buff.  Scale pattern above three broad bands.	Mycenaean
14.9.54	Mycenaean jar	Brownnish-black on pale buff.  Design consisting of lozenges or perhaps triangles filled with trefoils, the vacant spaces being filled with waved parallel lines.	Mycenaean
14.9.55	Mycenaean krater	Brick red on pale buff.  Connected spirals.	Mycenaean
14.9.56	Mycenaean jug	Brownish black paint on buff clay.  Design of connected spirals, with chevrons in the spaces between.  Underside is reserved.	Mycenaean
14.9.57	Attic geometric pyxis lid	Central circular knob with painted black cross and sides filled with lines.  Side has bars and the stem of the handle is black.  Three black bands, two roes of staggered bars, black bands, diagonal lines with dots above and below, black bands, horizontal bars in two rows but are entwined, black bands.  Inside is reserved and with a rim so it sits inside the base section.	Attic
14.9.58	Corinthian fragment	Thick black bands painted over pale buff: 3 on main part of fragment, 1 on shoulder and 1 on narrow neck part.	Corinthian
14.9.59	Corinthian fragment	Series of banded sections on pale buff background. Top section plain painted band faded to brown, followed by band of small black dots between two lines, then thick black band and 2 thin black lines then another black band that has faded to red and finally a thin black line with one further band that covers the corner and is visible on the bottom. The rest of the bottom is the pale buff of the clay. Inside has traces of brown paint particularly near the top.	Corinthian
14.9.6	Cypriote white slip ware fragment	Geometric patterns including crosshatching and diamond patterns in black paint on white slip. Short black lines on rim and interior of lip.	Cypriote
14.9.60	Corinthian lid (?) fragment	Series of bands; 1 thin followed by a thick red band with several darker lines through it, 2 rows of dots set between three faint red lines followed by a thick darker band and 2 thin bands all on pale buff surface. Outer edge has traces of painted line and underside is reserved.	Corinthian
14.9.61	Corinthian lid (?) fragment	Outer edge has row of dark brown dots. On top, first band is same dark brown colour which is followed by 3 redder bands, a row of dots the same colour and 3 more reddish bands. All the bands are approx. the same width.Background is pale buff. Underside is reserved.	Corinthian
14.9.62	Corinthian lid (?) fragment	9 red bands of approx. equal width, a couple fading on edges to yellow, red paint worn away towards centre of the piece probably from further bands. Background pale buff. Underside reserved	Corinthian
14.9.63	Corinthian lid (?) fragment	Dark reddish band then three rows of dots set between lines with a lighter red band immediately after and then 1 thin red line which is touched by the tip of a red triangle, all on mid buff background. Underside is reserved.	Corinthian
14.9.64	Corinthian fragment	2 thin horizontal black lines above handle, 8 below, 3 at right angles to these beside handle, all approx. equal width. 2 slightly thicker horizontal black lines on side of handle base. Background pale buff. Inside painted black.	Corinthian
14.9.65	Corinthian fragment	Thich black band with thinner one very close, then faded line, followed by wide red band, and then black geometric pattern of squared horizontal interlaced S shapes between 2 lines, all on pale buff background. Inside painted black somewhat washily.	Corinthian
14.9.66	Corinthian fragment	Yellow band, followed by brown band, then black irregular shape (possibly a flower) with a thick S shape next to it both partially obscured by red band. This is followed by three pale bands and 7 black line at right angles to these, 6 of which reach down to the 2nd pale band passing over the 3rd and the last only reaches the 3rd band. Background is pale buff. Inside painted black.	Corinthian
14.9.67	fragment	2 black lines at 45 degrees to each other. Black painted design with incised lines marking 7 thin rectangular sections with rounded ends all next to each other and getting shorter towards one side, every other one purple. (feathers? leather strips on armour?) 2 other small incised lines at right angles to each other on black, no clear design. All on coarse grey\\/buff background. Inside painted black.	 
14.9.68	Corinthian fragment	Hind leg of animal (poss. goat) in black with slightly redder edges and incised lines over hindquarters, standing on 2 thin red lines. 2 black rosettes divided into 8 with incised lines, one more faded to red than the other. Background buff. Inside painted black.	Corinthian
14.9.69	Corinthian fragment	Black painted design. 2 thick lines diverging from medium-sized black section. 1 curves round, the other is straight with a subsidary line curving away. Over the top of the main black region is a largely worn away blob of red paint and there is wavy incised line through the bottom. More incised lines cross the black lines with most falling on the curved one. Pale buff Background. Inside painted black	Corinthian
14.9.7	Thessalian	Core is grey and the surface is red.  Both sides have a linear pattern formed into rectangular shapes.  The interior surface has lines with adjoined rectangles with lines inside them too.  A similar pattern is reflected on the outside but less clear.At one end remains part of a bored hole, perhaps for suspension.	Thessalian
14.9.70	Corinthian fragment	Black petals around small circular indentation. Black painted section split into 3 sections by incised lines; 1 plain, 2nd with red paint over black, 3rd with incised lines at right angles to section lines. Further small black painted section. Background pale buff. Inside reserved.	Corinthian
14.9.71	Corinthian fragment	Black floral rosette, small central circle with circle round that and 11 petals marked with incised lines, every other petal marked with red spot. This is surrounded by black vines and several small leaves, 2 of which are marked with incised lines. Background buff. Inside reserved.	Corinthian
14.9.72	Camiran (?) fragment	Fragment with no finished edges.  The interior surface is reserved. The outer surface has a cream slip and much detailed drawing.  On the left are the head and front leg of a goat grazing to right. There is, perhaps, the hind leg of another goat in front.  A butterfly type design in the field above what appears to be a band with dashes either side with fewer strokes below.  There are also parts of a rosette and a curled cross in field. Black glaze is fired red in patches.	Camiran (?)
14.9.73	Camiran krater	Coarse brownish clay with no finished edges.  Underside is black except for a red band superimposed between two white ones. The exterior surface has a cream slip with brownish black paint and shows the fore part of goat \\/ deer grazing to the left with the hind leg, rump and tail of the animal in front.  \\'Swastika\\' type designs and dotted rosettes in the field.	Camiran
14.9.74	Chiot chalice	Outside on creamy background in handle zone guilloche at handle 2 vertical curving lines, above, zone showing only one black square frames w. lines of thinned black, below, plain band of black thinned at edges to golden brown.  Below this, meander.  Cream slip. Inside black with a pair of white bands.	Chiot
14.9.75	Clazomenian amphora	At the top is a triangle of black, with a smaller triangle below leading to a dark brown line. There is a similar line parallel to this one on the left. Both lines are at right angles to a braoder dark brown line. Nestled between two faint brown lines are five white circles with black circles in the centre. There is just a small area of dark brown\\/black on the bottom right hand corner. Other side is reserved.	Clazomenian
14.9.76	Clazomenian amphora fragment	Woman to right, incised outline for tresses of hair and edge of cloak, white for chest and fingers holding cloak, no added red now visible.	Clazomenian
14.9.77	Clazomenian amphora	Decoration of a swan facing siren, breast overlapping, added colours still preserved with white for face, neck and breast of siren and red for base of wing, indented outlines for wings of both creatures, for eye and beak of swan.	Clazomenian
14.9.78	Clazomenian amphora	Design in black indicates hind leg of a quadruped, (boar?)  To the right of this is an area of black on the right and bottom edge of the fragment, with thin red lines at right angles to this.	Clazomenian
14.9.79	Clazomenian amphora	Thought to be part of belly and hind leg of quadroped to right,incisions on the haunch, colours in black. Other side is reserved.	Clazomenian
14.9.8	Thessalian	Core red.  Red surface with linear decor in dull black on both sides.  The underside appears to have a zigzag pattern above a more dense and busy pattern of lines and zigzags.  No finished edges.	Thessalian
14.9.80	Clazomenian black figure amphora	Black panel indicated around the sides. The main decoration is a horses head, with a purple red mane, black ears. The other side is reserved.	Clazomenian
14.9.82	Attic black figure lekane	Head and part of body of woman and siren, both facing left.  Shapeless rosettes in field.  Red for hair, breast and base of wing of siren and large spot of breast of woman. On top of the rim there are two uneven rows of black dots.  The interior is black with a red band along the bottom half of the fragment.	Attic
