Naukratis,Naukratis
Nicks,Nicks
Nine,Nine
Nola,Nola
North,North
Officials,Officials
Olynthos,Olynthos
Orthia,Orthia
Orvieto,Orvieto
Oxford.,Oxford.
P.,P.
P.N,P.N
P.N.,P.N.
Paestum,Paestum
Palaikastro,Palaikastro
Paphos,Paphos
Paris,Paris
Paris.,Paris.
Paros,Paros
Parva,Parva
Patara,Patara
Persian,Persian
Perugia,Perugia
Perugia.,Perugia.
Petits,Petits
Phanes,Phanes
Pheneosncde+f,Pheneosncde+f
Phocaea,Phocaea
Photo,Photo
Phototographed,Phototographed
Picked,Picked
Platt,Platt
Poli,Poli
Polis,Polis
Polis.,Polis.
Pompeii,Pompeii
Pompeii.,Pompeii.
Populonia,Populonia
Possiable,Possiable
Possible,Possible
Possibly,Possibly
Presumably,Presumably
Priene,Priene
Probably,Probably
Professor,Professor
Ptah,Ptah
Purchased,Purchased
Qurneh,Qurneh
Ratisbon,Ratisbon
Reading,Reading
Recovered,Recovered
Rhitsona,Rhitsona
Rhodes,Rhodes
River,River
Romania,Romania
Rome,Rome
Rome.,Rome.
Round",Round"
Rue,Rue
Ruvo,Ruvo
Said,Said
Salamis,Salamis
Samothrace,Samothrace
Sanctuary,Sanctuary
Sardis,Sardis
School,School
School.,School.
Science,Science
See,See
Sesklo,Sesklo
Siad,Siad
Sicily,Sicily
Silver.,Silver.
Slope,Slope
Smyrna,Smyrna
Spain,Spain
Sparta,Sparta
Sparta-,Sparta-
Sparta.,Sparta.
Spartan,Spartan
Spink,Spink
Stubbings,Stubbings
Syracuse,Syracuse
Syracuse.,Syracuse.
Syracusene+f,Syracusene+f
T.146.II.,T.146.II.
T.75.I,T.75.I
T.75.II,T.75.II
T.75.II.,T.75.II.
Tamassos,Tamassos
Tanagra,Tanagra
Tarentum,Tarentum
Temple,Temple
Teos,Teos
Thames,Thames
Thasos,Thasos
The,The
Theban,Theban
Thebes,Thebes
Thebes.,Thebes.
Thessaly,Thessaly
This,This
Thought,Thought
Thpught,Thpught
Tiryns,Tiryns
Tomb,Tomb
Tsangli,Tsangli
Tsani,Tsani
Tunisia,Tunisia
URUK,URUK
University,University
Unknown,Unknown
Unkown,Unkown
Ure,Ure
Ure.,Ure.
Ushim,Ushim
WW,WW
WWII.,WWII.
War,War
World,World
Zoan,Zoan
